iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
9 	 8.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000001937e+03 	3.9883736107e-10 	2.5697315522e-13 	3.4604613843e-12 	2.1875759228e-01 	1.3548761047e-11 	7.9607857615e-08 	6.8408218598e-08 	1.6496950690e-08 	-1.2034723868e-34 	4.6952479223e-26 	2.4771360222e-17 	3.1882992225e-18 	6.5179457833e-08 	5.4838452852e-02 	1.3911487393e-10 	1.1567027013e-12 	2.1484838128e-15 	1.1471194107e-07 	4.0985076958e-18 	5.7343804844e-12 	3.9902571425e-10 	9.6397237795e-31 	4.2256541580e-18 	9.8466069552e-21 	2.8185827961e-11 	4.2873791168e-14 	4.1647208412e-09 	1.1788845387e-26 	6.7042437717e-17 	8.8346337700e-27 	1.0918314084e-25 	6.5099381109e-26 	-4.5441420721e-28 	-9.6176332133e-28 	3.0125126216e-18 	1.4281598887e-21 	8.7362451147e-24 	8.1437118908e-14 	1.6146850207e-25 	6.7948800348e-34 	2.2325423707e-25 	4.3854536701e-29 	1.4237060774e-27 	-1.3663048253e-27 	-4.8007838260e-28 	1.0139958185e-27 	2.5616923873e-27 	7.1375878635e-01 	1.2644818957e-02 	2.2023396316e-19 	1.1897856726e-15 	4.1571380853e-19 	8.9076649052e-19 	
10 	 9.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000003468e+03 	5.3272114419e-10 	3.1037384390e-13 	4.0606113531e-12 	2.1875754591e-01 	1.5877536848e-11 	1.0323221838e-07 	7.3389391099e-08 	1.9290221932e-08 	1.7660071024e-34 	5.5349045845e-26 	3.3577311961e-17 	4.3264003451e-18 	7.5658986752e-08 	5.4838421516e-02 	2.0260499028e-10 	1.7308575533e-12 	2.8447659555e-15 	1.4816282729e-07 	5.7021259724e-18 	6.9453971211e-12 	5.3514558680e-10 	2.1097250767e-30 	7.8917603893e-18 	1.7011798641e-20 	4.1915147655e-11 	5.7825741822e-14 	6.1891406039e-09 	2.6397687862e-26 	1.2786607003e-16 	2.1443942506e-26 	1.2811958743e-25 	9.2450310258e-26 	-4.5415031549e-28 	-9.6171061227e-28 	3.6374035366e-18 	1.8690815829e-21 	1.3658974019e-23 	9.9090341121e-14 	2.2956727188e-25 	-1.1909893265e-34 	2.9984866602e-25 	5.9761188463e-29 	1.6783653738e-27 	-1.3664276247e-27 	-4.8027577476e-28 	1.0145607094e-27 	2.1131852590e-27 	7.1375878635e-01 	1.2644818957e-02 	3.8018972583e-19 	2.0535301871e-15 	7.1889090684e-19 	1.5540336703e-18 	
11 	 1.0763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000005372e+03 	6.9275502514e-10 	3.6751691417e-13 	4.6913449871e-12 	2.1875749379e-01 	1.8311117900e-11 	1.3068616700e-07 	7.7824079540e-08 	2.2078391348e-08 	-2.3741374521e-34 	6.4541380167e-26 	4.4184912503e-17 	5.6982263397e-18 	8.6578022480e-08 	5.4838386107e-02 	2.8567974500e-10 	2.4969189905e-12 	3.6811575531e-15 	1.8698134207e-07 	7.6674021198e-18 	8.2422301909e-12 	6.9828871468e-10 	4.3066696515e-30 	1.3965845882e-17 	2.7957226007e-20 	6.0152812365e-11 	7.5805361889e-14 	8.8754858865e-09 	5.4895933667e-26 	2.3015316916e-16 	4.7954644466e-26 	1.4802114232e-25 	1.2669954202e-25 	-4.5435474783e-28 	-9.6159259765e-28 	4.3059789506e-18 	2.3914524150e-21 	2.0443491050e-23 	1.1802096194e-13 	3.1492547550e-25 	1.2588229921e-33 	3.9419085649e-25 	7.9011316021e-29 	1.9571742478e-27 	-1.3660779264e-27 	-4.8035453021e-28 	1.0148391553e-27 	1.7364221945e-27 	7.1375878635e-01 	1.2644818957e-02 	6.2438854234e-19 	3.3745797939e-15 	1.1824004647e-18 	2.5787229838e-18 	
12 	 1.1763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000007676e+03 	8.8052667890e-10 	4.2761116489e-13 	5.3456131134e-12 	2.1875743568e-01 	2.0822252553e-11 	1.6211672593e-07 	8.1731709668e-08 	2.4826613502e-08 	7.2306667160e-35 	7.4566977291e-26 	5.6641458867e-17 	7.3099168747e-18 	9.7828924976e-08 	5.4838346486e-02 	3.9209525588e-10 	3.4911339847e-12 	4.6708137832e-15 	2.3138947757e-07 	1.0017277615e-17 	9.6065268011e-12 	8.9012151287e-10 	8.2771403343e-30 	2.3604560081e-17 	4.4005781077e-20 	8.3743996613e-11 	9.6908811905e-14 	1.2346255907e-08 	1.0716163015e-25 	3.9443063773e-16 	1.0024742427e-25 	1.6866549020e-25 	1.6824624434e-25 	-4.5420205221e-28 	-9.6188475840e-28 	5.0089920493e-18 	3.0018168117e-21 	2.9507015491e-23 	1.3811175161e-13 	4.1856562078e-25 	-1.1321876693e-33 	5.0888664829e-25 	1.0177000514e-28 	2.2612642782e-27 	-1.3662081904e-27 	-4.8007237455e-28 	1.0152179689e-27 	1.4235218468e-27 	7.1375878635e-01 	1.2644818957e-02 	9.8227261331e-19 	5.3161731795e-15 	1.8624978717e-18 	4.0981223549e-18 	
13 	 1.2763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000010401e+03 	1.0972232065e-09 	4.8975929998e-13 	6.0154782142e-12 	2.1875737140e-01 	2.3381066238e-11 	1.9762489042e-07 	8.5137022666e-08 	2.7505351419e-08 	-5.7810683523e-35 	8.5444231747e-26 	7.0921234385e-17 	9.1581023885e-18 	1.0929103757e-07 	5.4838302562e-02 	5.2592088915e-10 	4.7499874451e-12 	5.8254850424e-15 	2.8154514628e-07 	1.2766818851e-17 	1.1017541744e-11 	1.1118891718e-09 	1.5094656296e-29 	3.8330253751e-17 	6.6688743487e-20 	1.1354477999e-10 	1.2111718562e-13 	1.6724753632e-08 	1.9795643293e-25 	6.4787884476e-16 	1.9782407092e-25 	1.8980229113e-25 	2.1717606312e-25 	-4.5407870718e-28 	-9.6202205037e-28 	5.7359563813e-18 	3.7060398660e-21 	4.1298024137e-23 	1.5924842264e-13 	5.4072812325e-25 	1.3645614498e-34 	6.4658634024e-25 	1.2797501854e-28 	2.5911981163e-27 	-1.3659843049e-27 	-4.7985552693e-28 	1.0157138520e-27 	1.1694941011e-27 	7.1375878635e-01 	1.2644818957e-02 	1.4879227943e-18 	8.0700523789e-15 	2.8243323899e-18 	6.2698240684e-18 	
14 	 1.3763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000013565e+03 	1.3435914236e-09 	5.5300365742e-13 	6.6924692738e-12 	2.1875730087e-01 	2.5956261664e-11 	2.3726234776e-07 	8.8070087396e-08 	3.0090158865e-08 	3.6672216518e-35 	9.7163511785e-26 	8.6920093676e-17 	1.1229207168e-17 	1.2083555182e-07 	5.4838254296e-02 	6.9149285133e-10 	6.3086954309e-12 	7.1549136020e-15 	3.3753624380e-07 	1.5922634221e-17 	1.2453198172e-11 	1.3643746362e-09 	2.6267401787e-29 	6.0077340067e-17 	9.7697573679e-20 	1.5038901266e-10 	1.4828643433e-13 	2.2130085540e-08 	3.4822853167e-25 	1.0252021391e-15 	3.7116966230e-25 	2.1116446768e-25 	2.7322544332e-25 	-4.5362056568e-28 	-9.6158607716e-28 	6.4756804337e-18 	4.5090565482e-21 	5.6288765915e-23 	1.8132066771e-13 	6.8077894750e-25 	-5.3139393632e-34 	8.0990516052e-25 	1.5747679129e-28 	2.9466791885e-27 	-1.3657392874e-27 	-4.7980805322e-28 	1.0157946204e-27 	9.7247628274e-28 	7.1375878635e-01 	1.2644818957e-02 	2.1789906031e-18 	1.1852034215e-14 	4.1398951363e-18 	9.2721010037e-18 	
15 	 1.4763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000017180e+03 	1.6199212096e-09 	6.1637724831e-13 	7.3679809994e-12 	2.1875722404e-01 	2.8516471373e-11 	2.8103026242e-07 	9.0565901923e-08 	3.2561473040e-08 	1.1643667413e-34 	1.0967972209e-25 	1.0445695309e-16 	1.3499654671e-17 	1.3233102365e-07 	5.4838201697e-02 	8.9335339887e-10 	8.1996580472e-12 	8.6663045643e-15 	3.9937786545e-07 	1.9482880637e-17 	1.3891265480e-11 	1.6478817981e-09 	4.3821420781e-29 	9.1223240722e-17 	1.3881199055e-19 	1.9505384126e-10 	1.7814789905e-13 	2.8671999836e-08 	5.8630191792e-25 	1.5692181487e-15 	6.6585542498e-25 	2.3248069953e-25 	3.3578141878e-25 	-4.5317052162e-28 	-9.6154154441e-28 	7.2168642351e-18 	5.4146521149e-21 	7.4966915024e-23 	2.0422326372e-13 	8.3720750836e-25 	-4.4149876107e-34 	1.0013037949e-24 	1.8991887400e-28 	3.3263382305e-27 	-1.3656312971e-27 	-4.8011018066e-28 	1.0162700269e-27 	8.0948594962e-28 	7.1375878635e-01 	1.2644818957e-02 	3.0951024948e-18 	1.6894710306e-14 	5.8849537104e-18 	1.3297778965e-17 	
16 	 1.5763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000021254e+03 	1.9260531973e-09 	6.7895479886e-13 	8.0336808282e-12 	2.1875714096e-01 	3.1031636194e-11 	3.2888027250e-07 	9.2663611395e-08 	3.4904388609e-08 	-1.2426524564e-35 	1.2290813117e-25 	1.2328244994e-16 	1.5937007638e-17 	1.4364909424e-07 	5.4838144829e-02 	1.1361785946e-09 	1.0451012916e-11 	1.0363927884e-14 	4.6701289847e-07 	2.3437869524e-17 	1.5310531552e-11 	1.9622441908e-09 	7.0364032574e-29 	1.3459863633e-16 	1.9181002337e-19 	2.4822692711e-10 	2.1032009220e-13 	3.6446023239e-08 	9.4876926595e-25 	2.3310667577e-15 	1.1472563575e-24 	2.5348812938e-25 	4.0391899507e-25 	-4.5221895522e-28 	-9.6166837435e-28 	7.9486959455e-18 	6.4252954345e-21 	9.7826916510e-23 	2.2785715626e-13 	1.0077150270e-24 	-4.4838548492e-34 	1.2229746562e-24 	2.2483811321e-28 	3.7276041199e-27 	-1.3654738002e-27 	-4.7982319437e-28 	1.0166229819e-27 	6.7914552095e-28 	7.1375878635e-01 	1.2644818957e-02 	4.2758615225e-18 	2.3437736019e-14 	8.1352169330e-18 	1.8546005696e-17 	
17 	 1.6763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000025787e+03 	2.2614095431e-09 	7.3989850854e-13 	8.6818855431e-12 	2.1875705176e-01 	3.3474277971e-11 	3.8071763304e-07 	9.4405415573e-08 	3.7108390866e-08 	9.1812816490e-35 	1.3672472612e-25 	1.4309392615e-16 	1.8501930513e-17 	1.5466992574e-07 	5.4838083801e-02 	1.4246988058e-09 	1.3085424385e-11 	1.2248895545e-14 	5.4031590374e-07 	2.7771202545e-17 	1.6691847870e-11 	2.3068578040e-09 	1.0910911044e-28 	1.9347366097e-16 	2.5836931301e-19 	3.1047833491e-10 	2.4433068668e-13 	4.5529343794e-08 	1.4809195033e-24 	3.3699750971e-15 	1.9056496827e-24 	2.7394456461e-25 	4.7647105530e-25 	-4.5111091340e-28 	-9.6158795747e-28 	8.6613866424e-18 	7.5420429195e-21 	1.2536167418e-22 	2.5213043963e-13 	1.1893919243e-24 	-1.5496162291e-34 	1.4767391146e-24 	2.6171583942e-28 	4.1467130846e-27 	-1.3654922539e-27 	-4.7951412865e-28 	1.0171745010e-27 	5.7644064286e-28 	7.1375878635e-01 	1.2644818957e-02 	5.7586513460e-18 	3.1716589682e-14 	1.0962126588e-17 	2.5212693595e-17 	
18 	 1.7763830000e-02 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000030775e+03 	2.6250442036e-09 	7.9849415182e-13 	9.3058738843e-12 	2.1875695662e-01 	3.5820550760e-11 	4.3640624006e-07 	9.5835274128e-08 	3.9167034789e-08 	1.0140699541e-34 	1.5097148264e-25 	1.6355491782e-16 	2.1150734759e-17 	1.6528689324e-07 	5.4838018764e-02 	1.7636169319e-09 	1.6119216902e-11 	1.4319137474e-14 	6.1909990353e-07 	3.2461299376e-17 	1.8018947905e-11 	2.6807342221e-09 	1.6386326833e-28 	2.7151931619e-16 	3.3997098460e-19 	3.8223956572e-10 	2.7964613059e-13 	5.5977806390e-08 	2.2365827405e-24 	4.7525638128e-15 	3.0613855262e-24 	2.9363798937e-25 	5.5211968234e-25 	-4.4942688802e-28 	-9.6167834652e-28 	9.3465921998e-18 	8.7645218818e-21 	1.5805515284e-22 	2.7695915795e-13 	1.3789410761e-24 	-2.0028108658e-34 	1.7639702220e-24 	2.9988156851e-28 	4.5788692675e-27 	-1.3653944781e-27 	-4.7911456838e-28 	1.0178355201e-27 	5.0030530326e-28 	7.1375878635e-01 	1.2644818957e-02 	7.5764936313e-18 	4.1950970906e-14 	1.4428760373e-17 	3.3480666028e-17 	
