iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
9 	 1.0000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999994e+02 	2.4854213536e-17 	9.7625005875e-17 	1.1841851544e-16 	2.1875780623e-01 	4.1136732947e-16 	2.4461560348e-16 	1.0411941117e-11 	3.5950933210e-16 	3.3122262934e-30 	2.8998570338e-30 	7.1574809513e-26 	9.5641910555e-27 	4.7447321867e-12 	5.4838588445e-02 	1.0980166792e-22 	4.0986653642e-25 	1.3614308521e-23 	9.4159526592e-16 	7.8474932428e-28 	6.3909917066e-17 	4.9375345764e-19 	7.9589039093e-30 	2.9321896200e-30 	-8.0272175571e-30 	1.3910116129e-24 	2.0028603857e-23 	3.0612692872e-21 	-3.9221403146e-31 	8.9512480810e-30 	9.6661168109e-30 	1.1669575809e-30 	-2.1825816527e-29 	-1.4004106988e-28 	1.3148988879e-28 	1.1431096272e-21 	2.7911397118e-29 	-4.0991456562e-29 	1.9067185027e-20 	1.1314881474e-29 	-1.0044979680e-29 	2.3916872423e-30 	1.5601129830e-29 	1.3126299772e-30 	1.2215316884e-29 	-2.1175244138e-28 	-9.8327987194e-30 	-2.2875323793e-28 	7.1375878635e-01 	1.2644818957e-02 	3.2183144093e-29 	-2.9323949315e-28 	-6.1481873088e-29 	-4.5867655922e-34 	
10 	 1.1000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999994e+02 	2.9644676146e-17 	1.0513008282e-16 	1.3968061768e-16 	2.1875780623e-01 	4.7914234395e-16 	3.1611612089e-16 	1.1453120119e-11 	4.3500424499e-16 	9.7616039555e-30 	4.1232783531e-30 	8.9946841452e-26 	1.1944082833e-26 	5.2192280944e-12 	5.4838588445e-02 	1.4789913733e-22 	5.6914139934e-25 	1.6619913133e-23 	1.1414215807e-15 	1.0220409262e-27 	7.5129792906e-17 	6.4278865671e-19 	6.7484827181e-30 	5.5755101165e-30 	-8.4666629821e-30 	2.0255631883e-24 	2.6477882265e-23 	4.0745898854e-21 	3.6686876560e-30 	1.4090144716e-29 	9.6317981608e-30 	-5.1501824842e-32 	-2.8791289822e-29 	-1.4546150519e-28 	1.5641605588e-28 	1.2310722031e-21 	2.0514502922e-29 	-2.8418812754e-29 	2.1109911192e-20 	5.7067767427e-30 	4.5126496243e-30 	3.4067825685e-30 	3.5329714301e-29 	-5.7272981969e-31 	1.2215364791e-29 	-2.2739262714e-28 	-9.9806562668e-30 	-1.9176947925e-28 	7.1375878635e-01 	1.2644818957e-02 	4.0279181974e-29 	-2.3235084496e-28 	-6.9853874817e-29 	-4.2960059735e-34 	
11 	 1.2000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999993e+02 	3.4781843153e-17 	1.1230609774e-16 	1.6208373386e-16 	2.1875780623e-01 	5.4939028001e-16 	3.9870926537e-16 	1.2494295791e-11 	5.1768855341e-16 	6.9298218644e-30 	5.7955349989e-30 	1.1065491338e-25 	1.4624034642e-26 	5.6937299902e-12 	5.4838588444e-02 	1.9398255912e-22 	7.6703541665e-25 	1.9930168737e-23 	1.3607630071e-15 	1.2773077500e-27 	8.6909314678e-17 	8.1650436847e-19 	3.4718324824e-29 	4.4868854324e-30 	-2.1569560045e-29 	2.8532423827e-24 	3.4144096881e-23 	5.2899750142e-21 	-6.9210868780e-32 	3.1506588758e-30 	9.6393017036e-30 	-5.9817053884e-30 	-2.2322565041e-29 	-1.5156024144e-28 	1.8629435881e-28 	1.3151829167e-21 	6.0346473547e-30 	-2.5560475304e-31 	2.3177543469e-20 	6.0083179334e-30 	-2.7678917802e-29 	4.6769313837e-30 	4.1644870211e-29 	-8.8630192199e-30 	1.2215395795e-29 	-2.7211312744e-28 	-9.9582046468e-30 	-1.9394486519e-28 	7.1375878635e-01 	1.2644818957e-02 	4.2420788359e-29 	-2.0334823666e-28 	-8.3209349641e-29 	-4.1612236871e-34 	
12 	 1.3000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999993e+02 	4.0250569835e-17 	1.1916984551e-16 	1.8551731179e-16 	2.1875780622e-01 	6.2175956796e-16 	4.9276342636e-16 	1.3535468005e-11 	6.0756214949e-16 	2.3927659821e-30 	3.4649336367e-30 	1.3374523695e-25 	1.7610589803e-26 	6.1682381190e-12 	5.4838588444e-02 	2.4882587878e-22 	1.0082126638e-24 	2.3546053886e-23 	1.5996723095e-15 	1.5946825665e-27 	9.9193188215e-17 	1.0160408594e-18 	6.0883990350e-31 	4.0112092941e-30 	-1.1394227962e-29 	3.9088033277e-24 	4.3120214225e-23 	6.7257980592e-21 	3.9120858616e-31 	1.6511125893e-29 	9.6267205269e-30 	-1.2690296984e-29 	-1.9936190215e-29 	-1.5433658876e-28 	2.2060317347e-28 	1.3956383772e-21 	5.7134288341e-30 	3.1791065511e-29 	2.5270113567e-20 	-3.4134823114e-31 	-4.3681408976e-30 	6.4430889311e-30 	2.5335965605e-29 	-2.5645545559e-30 	1.2215413578e-29 	-2.8820234788e-28 	-9.9937616584e-30 	-2.1466650425e-28 	7.1375878635e-01 	1.2644818957e-02 	2.5807396142e-29 	-2.5455341336e-28 	-9.7981299954e-29 	-4.0982353576e-34 	
13 	 1.4000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999992e+02 	4.6036483163e-17 	1.2573721127e-16 	2.0987894915e-16 	2.1875780622e-01 	6.9594583343e-16 	5.9859439226e-16 	1.4576636641e-11 	7.0462492451e-16 	2.6241037447e-29 	1.9233528408e-31 	1.5925443677e-25 	2.0903756250e-26 	6.6427526828e-12 	5.4838588443e-02 	3.1320709153e-22 	1.2974342637e-24 	2.7468214756e-23 	1.8581970709e-15 	1.9287325890e-27 	1.1193159285e-16 	1.2424257469e-18 	-5.8349716939e-30 	2.0378544242e-30 	-6.2640696162e-30 	5.2293371767e-24 	5.3496601784e-23 	8.4004332346e-21 	3.4756785084e-30 	1.7986288685e-29 	9.6170640583e-30 	-2.1575230040e-29 	-2.2920379692e-29 	-1.5343564422e-28 	2.5401761931e-28 	1.4726245439e-21 	1.1029586661e-29 	5.8988281127e-29 	2.7387650072e-20 	-1.3973637672e-30 	-1.9151998700e-29 	7.8546579973e-30 	3.1918343487e-29 	-6.3605277376e-30 	1.2215413696e-29 	-3.1398152927e-28 	-9.9193553849e-30 	-2.0651706628e-28 	7.1375878635e-01 	1.2644818957e-02 	2.7614458932e-29 	-2.5511684493e-28 	-1.0877379308e-28 	-4.2599936599e-34 	
14 	 1.5000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999992e+02 	5.2125940118e-17 	1.3202322468e-16 	2.3507384874e-16 	2.1875780622e-01 	7.7168548122e-16 	7.1647240486e-16 	1.5617801584e-11 	8.0887676892e-16 	-4.2081706128e-30 	5.8921713261e-30 	1.8714267160e-25 	2.4498066625e-26 	7.1172738462e-12 	5.4838588443e-02 	3.8790357718e-22 	1.6394321979e-24 	3.1697287117e-23 	2.1363802063e-15 	2.3224433768e-27 	1.2507963953e-16 	1.4965851500e-18 	8.1719787406e-30 	1.5180879587e-30 	-1.2582269138e-29 	6.8543392781e-24 	6.5361102007e-23 	1.0332255597e-20 	3.8216099649e-30 	3.0925907811e-30 	9.6664590778e-30 	-2.4107828682e-29 	-2.7760146878e-29 	-1.6379684169e-28 	2.8572522174e-28 	1.5463173610e-21 	1.7029152300e-29 	9.0059389621e-29 	2.9530178680e-20 	-2.6205589511e-30 	-2.7973876321e-30 	9.3239402166e-30 	2.8404300257e-29 	-3.1029663361e-30 	1.2215404968e-29 	-3.2583776922e-28 	-9.8479636710e-30 	-2.2805809153e-28 	7.1375878635e-01 	1.2644818957e-02 	3.4926011395e-29 	-2.8033230571e-28 	-1.1493846733e-28 	-4.4196367366e-34 	
15 	 1.6000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999991e+02 	5.8505988488e-17 	1.3804211031e-16 	2.6101430889e-16 	2.1875780622e-01 	8.4875016587e-16 	8.4662825588e-16 	1.6658962723e-11 	9.2031757240e-16 	-3.4248259105e-31 	7.5353258404e-30 	2.1745396281e-25 	2.8391842114e-26 	7.5918017419e-12 	5.4838588442e-02 	4.7369620814e-22 	2.0389716570e-24 	3.6234069092e-23 	2.4342604232e-15 	2.7070111435e-27 	1.3859688259e-16 	1.7793537366e-18 	-1.4673194371e-29 	1.7369539171e-30 	-2.2674240357e-30 	8.8258747197e-24 	7.8799102486e-23 	1.2539641051e-20 	5.4553354763e-31 	2.3905263394e-31 	9.8574800640e-30 	-1.6860044515e-29 	-2.5364654728e-29 	-1.7489863658e-28 	3.2101674592e-28 	1.6168833428e-21 	1.4827900406e-29 	1.0941046730e-28 	3.1697722415e-20 	-1.0633780915e-30 	-4.7423646123e-30 	1.0221723349e-29 	5.5450608795e-30 	-4.2026635509e-30 	1.2215393408e-29 	-3.5243286025e-28 	-9.6738104293e-30 	-1.7469602747e-28 	7.1375878635e-01 	1.2644818957e-02 	2.5608920915e-29 	-2.2381896966e-28 	-1.1857817272e-28 	-4.9814207696e-34 	
16 	 1.7000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999990e+02 	6.5164329954e-17 	1.4380733483e-16 	2.8761924686e-16 	2.1875780622e-01 	9.2694202521e-16 	9.8925855803e-16 	1.7700119951e-11 	1.0389472239e-15 	-1.8673430765e-30 	5.3918325533e-30 	2.5019271315e-25 	3.2606794332e-26 	8.0663364749e-12 	5.4838588442e-02 	5.7136693082e-22 	2.5008438141e-24 	4.1079039256e-23 	2.7518726380e-15 	3.1729982519e-27 	1.5244687989e-16 	2.0914837756e-18 	3.8635928729e-30 	7.3245028260e-31 	2.1922107186e-30 	1.1188102505e-23 	9.3893605735e-23 	1.5040966356e-20 	-1.3113434006e-31 	1.4723398808e-30 	9.9356566402e-30 	-2.1738513908e-29 	-2.3716801998e-29 	-1.8499805143e-28 	3.1893869189e-28 	1.6844801331e-21 	6.3594469522e-30 	1.2329496324e-28 	3.3890301823e-20 	9.8160567875e-31 	5.1549445007e-30 	1.0198306112e-29 	-7.0781328424e-30 	1.8158510642e-30 	1.2215415875e-29 	-3.6656827066e-28 	-3.2001648820e-29 	-1.1946255383e-28 	7.1375878635e-01 	1.2644818957e-02 	3.2417591084e-29 	-2.3614917888e-28 	-1.1520620224e-28 	-5.5224303701e-34 	
17 	 1.8000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999990e+02 	7.2089285346e-17 	1.4933165100e-16 	3.1481375307e-16 	2.1875780622e-01 	1.0060895704e-15 	1.1445303043e-15 	1.8741273168e-11 	1.1647656116e-15 	-6.7493517021e-30 	8.8446690518e-31 	2.8534000877e-25 	3.7126723592e-26 	8.5408781266e-12 	5.4838588441e-02 	6.8169860911e-22 	3.0297959381e-24 	4.6232725222e-23 	3.0892483506e-15 	3.6508198303e-27 	1.6659679645e-16 	2.4336532933e-18 	9.7472749398e-30 	1.2644070162e-30 	3.2482101028e-30 	1.3987515179e-23 	1.1072529425e-22 	1.7854609120e-20 	1.5661820233e-30 	3.4929831484e-31 	9.9370093295e-30 	-2.3717192499e-29 	-2.9865790622e-29 	-1.9287295158e-28 	3.1895218837e-28 	1.7492570183e-21 	-9.6173617454e-30 	7.8295686536e-29 	3.6107935167e-20 	-5.5435802897e-30 	2.3464322812e-30 	9.9305496759e-30 	-4.5887175224e-31 	-2.2724332849e-30 	1.2215377890e-29 	-3.8572339306e-28 	-6.7096346389e-29 	-7.9837156755e-29 	7.1375878635e-01 	1.2644818957e-02 	2.2175293675e-29 	-1.8687385193e-28 	-1.1352720138e-28 	-6.2560898318e-34 	
18 	 1.9000000000e-06 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999989e+02 	7.9269761892e-17 	1.5462713882e-16 	3.4252867408e-16 	2.1875780622e-01 	1.0860441411e-15 	1.3125848132e-15 	1.9782422278e-11 	1.2977726230e-15 	2.1924784260e-29 	4.5809659720e-30 	3.2294894153e-25 	4.1963127198e-26 	9.0154267579e-12 	5.4838588441e-02 	8.0547688142e-22 	3.6306582100e-24 	5.1695595033e-23 	3.4464159820e-15 	4.1685453128e-27 	1.8101704735e-16 	2.8064734218e-18 	1.9041338962e-29 	2.6838002488e-30 	-1.2309293202e-29 	1.7272854425e-23 	1.2937259731e-22 	2.0998947804e-20 	-3.7191867468e-30 	-7.4472753267e-31 	9.9467823295e-30 	-1.3888157665e-29 	-3.1819028585e-29 	-1.9555336469e-28 	3.1897730901e-28 	1.8113554110e-21 	-1.8979022682e-29 	4.4827410320e-29 	3.8350638597e-20 	-7.5110883941e-30 	-1.5045444572e-29 	9.5703713001e-30 	-1.3956933148e-29 	-5.2099376476e-30 	1.2215375818e-29 	-3.9043884502e-28 	-1.0643820837e-28 	-6.4815635994e-29 	7.1375878635e-01 	1.2644818957e-02 	3.0619512335e-29 	-1.0475016064e-28 	-1.1421768769e-28 	-6.0293884479e-34 	
