                  H2    2.015940000000000e+00   2   0
                  O2    3.199880000000000e+01   0   2
                   O    1.599940000000000e+01   0   1
                  OH    1.700737000000000e+01   1   1
                 H2O    1.801534000000000e+01   2   1
                   H    1.007970000000000e+00   1   0
                 HO2    3.300677000000000e+01   1   2
                H2O2    3.401474000000000e+01   2   2
