T P H2 O2
9.000000000000000000e+02 1.013250000000000000e+05 2.7431213550e-01 7.2568786450e-01
9.000000000000000000e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.000000000000000000e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
