iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	O2 	O 	OH 	H2O 	H 	HO2 	H2O2 	
5 	 6.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999990e+02 	1.4383656938e-01 	8.5616343034e-01 	1.9338429264e-12 	5.3977357679e-13 	1.7551649301e-11 	2.1115389826e-12 	2.5346502634e-10 	7.5364807196e-14 	
6 	 7.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999989e+02 	2.7431213549e-01 	7.2568786422e-01 	1.2600152931e-12 	3.4940753946e-13 	1.5167222874e-11 	3.0477831351e-12 	2.6854555158e-10 	1.1066593016e-13 	
6 	 7.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999997e+02 	5.9266659089e-02 	9.4073334063e-01 	3.1351376703e-12 	8.7704936204e-13 	2.4135485882e-11 	1.2893774374e-12 	2.5502477835e-10 	6.0675826779e-14 	
6 	 7.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999991e+02 	1.4383656938e-01 	8.5616343028e-01 	2.1086336254e-12 	5.8341492533e-13 	2.2932578384e-11 	2.2523781482e-12 	3.0742474218e-10 	1.0646379317e-13 	
7 	 8.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999989e+02 	2.7431213548e-01 	7.2568786417e-01 	1.3727702749e-12 	3.7858540181e-13 	1.9275736524e-11 	3.2743246412e-12 	3.1744468095e-10 	1.4895990634e-13 	
7 	 8.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000000e+02 	5.9266659087e-02 	9.4073334058e-01 	3.3394281881e-12 	9.2576346292e-13 	3.0071000144e-11 	1.3430686458e-12 	3.0079052923e-10 	8.1868319915e-14 	
7 	 8.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999992e+02 	1.4383656938e-01 	8.5616343022e-01 	2.2480211748e-12 	6.1821160478e-13 	2.8687151214e-11 	2.3646508215e-12 	3.6307749171e-10 	1.4364688322e-13 	
8 	 9.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999989e+02 	2.7431213548e-01 	7.2568786412e-01 	1.4699189397e-12 	4.0372535012e-13 	2.3689930863e-11 	3.4695231803e-12 	3.6796240348e-10 	1.9375593304e-13 	
8 	 9.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000003e+02 	5.9266659085e-02 	9.4073334053e-01 	3.5004396673e-12 	9.6414989328e-13 	3.6291631424e-11 	1.3853668726e-12 	3.4754100854e-10 	1.0659085322e-13 	
8 	 9.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999994e+02 	1.4383656938e-01 	8.5616343016e-01 	2.3591688682e-12 	6.4595953496e-13 	3.4739653263e-11 	2.4541893806e-12 	4.2007879067e-10 	1.8708195893e-13 	
